word,to_asterisks,to_number,to_ommit,interleave_space,interleave_underscore,swap,duplicate_char,extra_char,random
lewd,l*wd,lewd,lwd,l e w d,l_e_w_d,elwd,leeeeewd,lewdm,lwd
weird,w*ird,weird,wrd,w e i r d,w_e_i_r_d,ewird,weeeeeird,weirds,w_e_i_r_d
hater,h*ter,hater,htr,h a t e r,h_a_t_e_r,ahter,haaaaater,hatere,h_a_t_e_r
arrogant,*rrogant,arr0gant,rrgnt,a r r o g a n t,a_r_r_o_g_a_n_t,rarogant,aaaaarrogant,arrogantn,aaaaarrogant
snot,sn*t,sn0t,snt,s n o t,s_n_o_t,nsot,snooooot,snotb,s_n_o_t
hoe,h*e,h0e,h,h o e,h_o_e,ohe,hoooooe,hoei,hoed
damn,d*mn,damn,dmn,d a m n,d_a_m_n,admn,daaaaamn,damnq,d*mn
scum,sc*m,scum,scm,s c u m,s_c_u_m,csum,scuuuuum,scumd,scumn
retard,r*tard,retard,rtrd,r e t a r d,r_e_t_a_r_d,ertard,reeeeetard,retardk,retard
sickening,s*ckening,sickening,scknng,s i c k e n i n g,s_i_c_k_e_n_i_n_g,isckening,siiiiickening,sickeningp,s*ckening
jerk,j*rk,jerk,jrk,j e r k,j_e_r_k,ejrk,jeeeeerk,jerkx,j*rk
piss,p*ss,piss,pss,p i s s,p_i_s_s,ipss,piiiiiss,pissq,p*ss
smelly,sm*lly,smelly,smlly,s m e l l y,s_m_e_l_l_y,mselly,smeeeeelly,smellyc,mselly
imbecile,*mbecile,imbecile,mbcl,i m b e c i l e,i_m_b_e_c_i_l_e,mibecile,iiiiimbecile,imbecileb,imbeciled
underhanded,*nderhanded,underhanded,ndrhndd,u n d e r h a n d e d,u_n_d_e_r_h_a_n_d_e_d,nuderhanded,uuuuunderhanded,underhandedp,uuuuunderhanded
lunatic,l*natic,lunatic,lntc,l u n a t i c,l_u_n_a_t_i_c,ulnatic,luuuuunatic,lunatict,lunaticp
bimbo,b*mbo,bimb0,bmb,b i m b o,b_i_m_b_o,ibmbo,biiiiimbo,bimboo,b i m b o
twat,tw*t,twat,twt,t w a t,t_w_a_t,wtat,twaaaaat,twatr,twat
madman,m*dman,madman,mdmn,m a d m a n,m_a_d_m_a_n,amdman,maaaaadman,madmang,m*dman
lame,l*me,lame,lm,l a m e,l_a_m_e,alme,laaaaame,lamec,l_a_m_e
whiner,wh*ner,whiner,whnr,w h i n e r,w_h_i_n_e_r,hwiner,whiiiiiner,whinerr,hwiner
idiotic,*diotic,idi0tic,dtc,i d i o t i c,i_d_i_o_t_i_c,diiotic,iiiiidiotic,idioticz,i d i o t i c
sucky,s*cky,sucky,scky,s u c k y,s_u_c_k_y,uscky,suuuuucky,suckyq,s u c k y
sod,s*d,s0d,sd,s o d,s_o_d,osd,soooood,sodn,s0d
depraved,d*praved,depraved,dprvd,d e p r a v e d,d_e_p_r_a_v_e_d,edpraved,deeeeepraved,depravedh,d*praved
uncaring,*ncaring,uncaring,ncrng,u n c a r i n g,u_n_c_a_r_i_n_g,nucaring,uuuuuncaring,uncaringv,*ncaring
abomination,*bomination,ab0mination,bmntn,a b o m i n a t i o n,a_b_o_m_i_n_a_t_i_o_n,baomination,aaaaabomination,abominationp,ab0mination
shit,sh*t,shit,sht,s h i t,s_h_i_t,hsit,shiiiiit,shitp,s_h_i_t
