word,to_asterisks,to_number,to_ommit,interleave_space,interleave_underscore,swap,duplicate_char,extra_char,random
cumhungry,c*mhungry,cumhungry,cmhngry,c u m h u n g r y,c_u_m_h_u_n_g_r_y,ucmhungry,cuuuuumhungry,cumhungryk,cumhungry
dickish,d*ckish,dickish,dcksh,d i c k i s h,d_i_c_k_i_s_h,idckish,diiiiickish,dickisho,d i c k i s h
whack,wh*ck,whack,whck,w h a c k,w_h_a_c_k,hwack,whaaaaack,whackd,whaaaaack
amok,*mok,am0k,mk,a m o k,a_m_o_k,maok,aaaaamok,amokq,maok
dodgy,d*dgy,d0dgy,ddgy,d o d g y,d_o_d_g_y,oddgy,dooooodgy,dodgyg,d o d g y
pestilence,p*stilence,pestilence,pstlnc,p e s t i l e n c e,p_e_s_t_i_l_e_n_c_e,epstilence,peeeeestilence,pestilencez,pstlnc
misanthropy,m*santhropy,misanthr0py,msnthrpy,m i s a n t h r o p y,m_i_s_a_n_t_h_r_o_p_y,imsanthropy,miiiiisanthropy,misanthropyt,msnthrpy
dewire,d*wire,dewire,dwr,d e w i r e,d_e_w_i_r_e,edwire,deeeeewire,dewiret,d e w i r e
careless,c*reless,careless,crlss,c a r e l e s s,c_a_r_e_l_e_s_s,acreless,caaaaareless,carelessc,crlss
scaggy,sc*ggy,scaggy,scggy,s c a g g y,s_c_a_g_g_y,csaggy,scaaaaaggy,scaggys,scaggy
obsessive,*bsessive,0bsessive,bsssv,o b s e s s i v e,o_b_s_e_s_s_i_v_e,bosessive,ooooobsessive,obsessiveg,ooooobsessive
underfucked,*nderfucked,underfucked,ndrfckd,u n d e r f u c k e d,u_n_d_e_r_f_u_c_k_e_d,nuderfucked,uuuuunderfucked,underfuckedz,u n d e r f u c k e d
drunk,dr*nk,drunk,drnk,d r u n k,d_r_u_n_k,rdunk,druuuuunk,drunkg,d r u n k
niggerish,n*ggerish,niggerish,nggrsh,n i g g e r i s h,n_i_g_g_e_r_i_s_h,inggerish,niiiiiggerish,niggerishm,n_i_g_g_e_r_i_s_h
frankenfood,fr*nkenfood,frankenf0od,frnknfd,f r a n k e n f o o d,f_r_a_n_k_e_n_f_o_o_d,rfankenfood,fraaaaankenfood,frankenfoodi,frankenfoodv
superstition,s*perstition,superstiti0n,sprsttn,s u p e r s t i t i o n,s_u_p_e_r_s_t_i_t_i_o_n,usperstition,suuuuuperstition,superstitiona,superstitionn
sperg,sp*rg,sperg,sprg,s p e r g,s_p_e_r_g,pserg,speeeeerg,spergh,pserg
fanfuckingtastic,f*nfuckingtastic,fanfuckingtastic,fnfckngtstc,f a n f u c k i n g t a s t i c,f_a_n_f_u_c_k_i_n_g_t_a_s_t_i_c,afnfuckingtastic,faaaaanfuckingtastic,fanfuckingtasticn,fnfckngtstc
cumthirsty,c*mthirsty,cumthirsty,cmthrsty,c u m t h i r s t y,c_u_m_t_h_i_r_s_t_y,ucmthirsty,cuuuuumthirsty,cumthirstyv,c*mthirsty
cackle,c*ckle,cackle,cckl,c a c k l e,c_a_c_k_l_e,acckle,caaaaackle,cacklem,c*ckle
thwarter,thw*rter,thwarter,thwrtr,t h w a r t e r,t_h_w_a_r_t_e_r,htwarter,thwaaaaarter,thwarterr,htwarter
niggerly,n*ggerly,niggerly,nggrly,n i g g e r l y,n_i_g_g_e_r_l_y,inggerly,niiiiiggerly,niggerlyv,n_i_g_g_e_r_l_y
niggery,n*ggery,niggery,nggry,n i g g e r y,n_i_g_g_e_r_y,inggery,niiiiiggery,niggeryk,niiiiiggery
crackerbox,cr*ckerbox,crackerb0x,crckrbx,c r a c k e r b o x,c_r_a_c_k_e_r_b_o_x,rcackerbox,craaaaackerbox,crackerboxr,crckrbx
truculent,tr*culent,truculent,trclnt,t r u c u l e n t,t_r_u_c_u_l_e_n_t,rtuculent,truuuuuculent,truculentl,truculenti
scowl,sc*wl,sc0wl,scwl,s c o w l,s_c_o_w_l,csowl,scooooowl,scowlm,scooooowl
unfuckupable,*nfuckupable,unfuckupable,nfckpbl,u n f u c k u p a b l e,u_n_f_u_c_k_u_p_a_b_l_e,nufuckupable,uuuuunfuckupable,unfuckupablek,unfuckupable
stupidass,st*pidass,stupidass,stpdss,s t u p i d a s s,s_t_u_p_i_d_a_s_s,tsupidass,stuuuuupidass,stupidassq,st*pidass
blunt,bl*nt,blunt,blnt,b l u n t,b_l_u_n_t,lbunt,bluuuuunt,bluntx,blunt
spergy,sp*rgy,spergy,sprgy,s p e r g y,s_p_e_r_g_y,psergy,speeeeergy,spergya,s_p_e_r_g_y
snedging,sn*dging,snedging,sndgng,s n e d g i n g,s_n_e_d_g_i_n_g,nsedging,sneeeeedging,snedgingd,sn*dging
glower,gl*wer,gl0wer,glwr,g l o w e r,g_l_o_w_e_r,lgower,glooooower,glowerx,glooooower
flashfic,fl*shfic,flashfic,flshfc,f l a s h f i c,f_l_a_s_h_f_i_c,lfashfic,flaaaaashfic,flashficd,lfashfic
prostitution,pr*stitution,pr0stitution,prstttn,p r o s t i t u t i o n,p_r_o_s_t_i_t_u_t_i_o_n,rpostitution,prooooostitution,prostitutionm,prstttn
emotionless,*motionless,em0tionless,mtnlss,e m o t i o n l e s s,e_m_o_t_i_o_n_l_e_s_s,meotionless,eeeeemotionless,emotionlessh,em0tionless
duology,d*ology,du0logy,dlgy,d u o l o g y,d_u_o_l_o_g_y,udology,duuuuuology,duologyb,dlgy
rogue,r*gue,r0gue,rg,r o g u e,r_o_g_u_e,orgue,rooooogue,roguez,rg
turnoff,t*rnoff,turn0ff,trnff,t u r n o f f,t_u_r_n_o_f_f,utrnoff,tuuuuurnoff,turnofff,turn0ff
invective,*nvective,invective,nvctv,i n v e c t i v e,i_n_v_e_c_t_i_v_e,nivective,iiiiinvective,invectivez,nivective
biblethumping,b*blethumping,biblethumping,bblthmpng,b i b l e t h u m p i n g,b_i_b_l_e_t_h_u_m_p_i_n_g,ibblethumping,biiiiiblethumping,biblethumpingb,b*blethumping
submissive,s*bmissive,submissive,sbmssv,s u b m i s s i v e,s_u_b_m_i_s_s_i_v_e,usbmissive,suuuuubmissive,submissivea,suuuuubmissive
cocking,c*cking,c0cking,cckng,c o c k i n g,c_o_c_k_i_n_g,occking,cooooocking,cockinga,cckng
feeble,f*eble,feeble,fbl,f e e b l e,f_e_e_b_l_e,efeble,feeeeeeble,feeblez,feeeeeeble
pesthole,p*sthole,pesth0le,psthl,p e s t h o l e,p_e_s_t_h_o_l_e,epsthole,peeeeesthole,pestholep,p_e_s_t_h_o_l_e
maladroit,m*ladroit,maladr0it,mldrt,m a l a d r o i t,m_a_l_a_d_r_o_i_t,amladroit,maaaaaladroit,maladroitm,m_a_l_a_d_r_o_i_t
unthinking,*nthinking,unthinking,nthnkng,u n t h i n k i n g,u_n_t_h_i_n_k_i_n_g,nuthinking,uuuuunthinking,unthinkingk,u_n_t_h_i_n_k_i_n_g
eggheaded,*ggheaded,eggheaded,gghdd,e g g h e a d e d,e_g_g_h_e_a_d_e_d,gegheaded,eeeeeggheaded,eggheadedg,*ggheaded
insanity,*nsanity,insanity,nsnty,i n s a n i t y,i_n_s_a_n_i_t_y,nisanity,iiiiinsanity,insanityk,nsnty
disobedient,d*sobedient,dis0bedient,dsbdnt,d i s o b e d i e n t,d_i_s_o_b_e_d_i_e_n_t,idsobedient,diiiiisobedient,disobedientj,d_i_s_o_b_e_d_i_e_n_t
deniggerize,d*niggerize,deniggerize,dnggrz,d e n i g g e r i z e,d_e_n_i_g_g_e_r_i_z_e,edniggerize,deeeeeniggerize,deniggerizei,d e n i g g e r i z e
patronizing,p*tronizing,patr0nizing,ptrnzng,p a t r o n i z i n g,p_a_t_r_o_n_i_z_i_n_g,aptronizing,paaaaatronizing,patronizingi,ptrnzng
goshwowboyoboy,g*shwowboyoboy,g0shwowboyoboy,gshwwbyby,g o s h w o w b o y o b o y,g_o_s_h_w_o_w_b_o_y_o_b_o_y,ogshwowboyoboy,goooooshwowboyoboy,goshwowboyoboyj,goshwowboyoboyt
pestilent,p*stilent,pestilent,pstlnt,p e s t i l e n t,p_e_s_t_i_l_e_n_t,epstilent,peeeeestilent,pestilentw,epstilent
underpart,*nderpart,underpart,ndrprt,u n d e r p a r t,u_n_d_e_r_p_a_r_t,nuderpart,uuuuunderpart,underpartn,u n d e r p a r t
homophobia,h*mophobia,h0mophobia,hmphb,h o m o p h o b i a,h_o_m_o_p_h_o_b_i_a,ohmophobia,hooooomophobia,homophobiag,h0mophobia
jacobinize,j*cobinize,jac0binize,jcbnz,j a c o b i n i z e,j_a_c_o_b_i_n_i_z_e,ajcobinize,jaaaaacobinize,jacobinizej,j*cobinize
infest,*nfest,infest,nfst,i n f e s t,i_n_f_e_s_t,nifest,iiiiinfest,infesta,infestd
assholey,*ssholey,assh0ley,sshly,a s s h o l e y,a_s_s_h_o_l_e_y,sasholey,aaaaassholey,assholeyu,assholeyg
oppressor,*ppressor,0ppressor,pprssr,o p p r e s s o r,o_p_p_r_e_s_s_o_r,popressor,oooooppressor,oppressorm,0ppressor
papistic,p*pistic,papistic,ppstc,p a p i s t i c,p_a_p_i_s_t_i_c,appistic,paaaaapistic,papistict,ppstc
unsuspecting,*nsuspecting,unsuspecting,nsspctng,u n s u s p e c t i n g,u_n_s_u_s_p_e_c_t_i_n_g,nususpecting,uuuuunsuspecting,unsuspectingu,nsspctng
ravenous,r*venous,raven0us,rvns,r a v e n o u s,r_a_v_e_n_o_u_s,arvenous,raaaaavenous,ravenousx,r_a_v_e_n_o_u_s
insolence,*nsolence,ins0lence,nslnc,i n s o l e n c e,i_n_s_o_l_e_n_c_e,nisolence,iiiiinsolence,insolences,i n s o l e n c e
willful,w*llful,willful,wllfl,w i l l f u l,w_i_l_l_f_u_l,iwllful,wiiiiillful,willfula,w_i_l_l_f_u_l
bust,b*st,bust,bst,b u s t,b_u_s_t,ubst,buuuuust,bustf,b*st
asshattish,*sshattish,asshattish,sshttsh,a s s h a t t i s h,a_s_s_h_a_t_t_i_s_h,sashattish,aaaaasshattish,asshattishv,a_s_s_h_a_t_t_i_s_h
asshatty,*sshatty,asshatty,sshtty,a s s h a t t y,a_s_s_h_a_t_t_y,sashatty,aaaaasshatty,asshattye,sashatty
bluster,bl*ster,bluster,blstr,b l u s t e r,b_l_u_s_t_e_r,lbuster,bluuuuuster,blusterm,b l u s t e r
innuendo,*nnuendo,innuend0,nnnd,i n n u e n d o,i_n_n_u_e_n_d_o,ninuendo,iiiiinnuendo,innuendob,iiiiinnuendo
